hours,riverflow,demand,windspeed,windspeed hub height,Power,windfactor,direct,diffuse,temperature,Irradiance,panel_efficiency,efficiency,area_usage,performance_ratio,kW/m²,PV_factor
40,1529431.498,0.000113912,6.822,8,1915,0.0003544025,0.285,0.16,29.168,0.445,0.95,0.21,0.33,0.85,0.029296575,0.000121307713508
41,1529431.498,0.000127991,6.346,7.4,1535.6,0.0002841882,0.096,0.105,28.199,0.201,0.95,0.21,0.33,0.85,0.013232835,5.4799569891535E-05
42,1529431.498,0.00015103,5.559,6.5,1032,0.0001909887,0.006,0.012,25.279,0.018,0.95,0.21,0.33,0.85,0.00118503,4.90769310886272E-06
43,1529431.498,0.00014591,5.11,6,802,0.0001484234,0,0,23.646,0,0.95,0.21,0.33,0.85,0,0
44,1529431.498,0.000138231,5.007,5.9,763,0.0001412058,0,0,22.536,0,0.95,0.21,0.33,0.85,0,0
45,1529431.498,0.000120312,4.957,5.8,724,0.0001339882,0,0,21.596,0,0.95,0.21,0.33,0.85,0,0
46,1529431.498,0.000108793,4.941,5.8,724,0.0001339882,0,0,20.783,0,0.95,0.21,0.33,0.85,0,0
47,1529431.498,9.72735E-05,4.959,5.8,724,0.0001339882,0,0,20.119,0,0.95,0.21,0.33,0.85,0,0
48,1529431.498,8.19145E-05,4.882,5.7,685,0.0001267706,0,0,19.531,0,0.95,0.21,0.33,0.85,0,0
49,1529431.498,8.06346E-05,4.752,5.6,646,0.000119553,0,0,18.964,0,0.95,0.21,0.33,0.85,0,0
50,1529431.498,8.19145E-05,3.197,3.7,140,2.59093E-05,0,0,18.562,0,0.95,0.21,0.33,0.85,0,0
51,1529431.498,8.19145E-05,1.739,2,0,0,0,0,18.27,0,0.95,0.21,0.33,0.85,0,0
52,1529431.498,8.57542E-05,1.328,1.6,0,0,0,0,17.909,0,0.95,0.21,0.33,0.85,0,0
53,1529431.498,9.08739E-05,1.96,2.3,0,0,0,0,17.578,0,0.95,0.21,0.33,0.85,0,0
54,1529431.498,9.59936E-05,2.104,2.5,0,0,0,0,17.31,0,0.95,0.21,0.33,0.85,0,0
55,1529431.498,0.000102393,2.433,2.8,0,0,0.01,0.021,17.341,0.031,0.95,0.21,0.33,0.85,0.002040885,8.45217961263388E-06
