hours,riverflow,demand,windspeed,windspeed hub height,Power,windfactor,direct,diffuse,temperature,Irradiance,panel_efficiency,efficiency,area_usage,performance_ratio,kW/m²,PV_factor
1906,1005054.985,0.0001424,1.852,2.2,0,0,0.174,0.392,30.512,0.566,0.95,0.21,0.33,0.85,0.03726261,0.00017751566513
1907,1005054.985,0.000135351,2.359,2.8,0,0,0.267,0.443,32.546,0.71,0.95,0.21,0.33,0.85,0.04674285,0.000222718197175
1908,1005054.985,0.000140991,3.446,4,194,3.59029E-05,0.308,0.468,34.256,0.776,0.95,0.21,0.33,0.85,0.05108796,0.000243475805376
1909,1005054.985,0.00014522,4.715,5.5,607,0.0001123354,0.244,0.481,35.263,0.725,0.95,0.21,0.33,0.85,0.047730375,0.000227529571783
1910,1005054.985,0.0001424,5.119,6,802,0.0001484234,0.159,0.452,35.703,0.611,0.95,0.21,0.33,0.85,0.040225185,0.000191796147377
1911,1005054.985,0.000139581,4.771,5.6,646,0.000119553,0.064,0.359,35.393,0.423,0.95,0.21,0.33,0.85,0.027848205,0.000132807420136
1912,1005054.985,0.000128301,5.233,6.1,848,0.0001569365,0.021,0.229,34.63,0.25,0.95,0.21,0.33,0.85,0.01645875,7.8501808681672E-05
1913,1005054.985,0.000140991,4.996,5.8,724,0.0001339882,0.009,0.129,33.686,0.138,0.95,0.21,0.33,0.85,0.00908523,4.33364003780944E-05
1914,1005054.985,0.000159319,4.778,5.6,646,0.000119553,0.002,0.034,31.481,0.036,0.95,0.21,0.33,0.85,0.00237006,1.13056378703696E-05
1915,1005054.985,0.000164959,4.308,5,442,8.17994E-05,0,0,29.508,0,0.95,0.21,0.33,0.85,0,0
1916,1005054.985,0.00014804,3.958,4.6,333.2,6.16642E-05,0,0,28.706,0,0.95,0.21,0.33,0.85,0,0
1917,1005054.985,0.000133941,3.626,4.2,238.8,4.41939E-05,0,0,28.259,0,0.95,0.21,0.33,0.85,0,0
1918,1005054.985,0.000121252,3.379,4,194,3.59029E-05,0,0,27.904,0,0.95,0.21,0.33,0.85,0,0
1919,1005054.985,0.000105743,3.303,3.9,176,3.25717E-05,0,0,27.544,0,0.95,0.21,0.33,0.85,0,0
1920,1005054.985,9.30538E-05,3.31,3.9,176,3.25717E-05,0,0,26.951,0,0.95,0.21,0.33,0.85,0,0
1921,1005054.985,9.16438E-05,3.316,3.9,176,3.25717E-05,0,0,26.3,0,0.95,0.21,0.33,0.85,0,0
1922,1005054.985,9.02339E-05,5.057,5.9,763,0.0001412058,0,0,25.764,0,0.95,0.21,0.33,0.85,0,0
1923,1005054.985,9.16438E-05,5.519,6.5,1032,0.0001909887,0,0,25.301,0,0.95,0.21,0.33,0.85,0,0
1924,1005054.985,9.30538E-05,4.898,5.7,685,0.0001267706,0,0,24.855,0,0.95,0.21,0.33,0.85,0,0
1925,1005054.985,0.000100103,4.168,4.9,414.8,7.67656E-05,0,0,24.454,0,0.95,0.21,0.33,0.85,0,0
1926,1005054.985,0.000105743,3.274,3.8,158,2.92405E-05,0,0,24.1,0,0.95,0.21,0.33,0.85,0,0
1927,1005054.985,0.000117022,2.29,2.7,0,0,0.005,0.05,24.441,0.055,0.95,0.21,0.33,0.85,0.003620925,1.72726975808174E-05
1928,1005054.985,0.000129711,1.341,1.6,0,0,0.032,0.179,26.102,0.211,0.95,0.21,0.33,0.85,0.013891185,6.62654934847829E-05
1929,1005054.985,0.000140991,0.001,0,0,0,0.094,0.3,27.973,0.394,0.95,0.21,0.33,0.85,0.02593899,0.000123745661835
1930,1005054.985,0.00014381,1.004,1.2,0,0,0.143,0.39,29.946,0.533,0.95,0.21,0.33,0.85,0.035090055,0.00016742284414
1931,1005054.985,0.000138171,1.253,1.5,0,0,0.19,0.452,31.834,0.642,0.95,0.21,0.33,0.85,0.04226607,0.000201695055298
1932,1005054.985,0.000135351,3.983,4.7,360.4,6.6698E-05,0.204,0.484,33.379,0.688,0.95,0.21,0.33,0.85,0.04529448,0.000216190330448
1933,1005054.985,0.00014663,5.234,6.1,848,0.0001569365,0.156,0.481,34.381,0.637,0.95,0.21,0.33,0.85,0.041936895,0.00020020787675
1934,1005054.985,0.00014381,3.849,4.5,306,5.66304E-05,0.136,0.446,34.923,0.582,0.95,0.21,0.33,0.85,0.03831597,0.000182958112023
1935,1005054.985,0.000138171,3.713,4.3,261.2,4.83394E-05,0.12,0.382,35.092,0.502,0.95,0.21,0.33,0.85,0.03304917,0.000157838108408
1936,1005054.985,0.000132531,3.963,4.6,333.2,6.16642E-05,0.063,0.282,34.794,0.345,0.95,0.21,0.33,0.85,0.022713075,0.000108491521309
1937,1005054.985,0.00014522,3.79,4.4,283.6,5.24849E-05,0.031,0.169,33.991,0.2,0.95,0.21,0.33,0.85,0.013167,6.29004597080097E-05
1938,1005054.985,0.000166369,3.341,3.9,176,3.25717E-05,0.002,0.037,31.318,0.039,0.95,0.21,0.33,0.85,0.002567565,1.22663612028205E-05
1939,1005054.985,0.000162139,3.37,3.9,176,3.25717E-05,0,0,29.541,0,0.95,0.21,0.33,0.85,0,0
1940,1005054.985,0.00015368,4.004,4.7,360.4,6.6698E-05,0,0,28.803,0,0.95,0.21,0.33,0.85,0,0
1941,1005054.985,0.000140991,4.63,5.4,574,0.0001062282,0,0,27.883,0,0.95,0.21,0.33,0.85,0,0
1942,1005054.985,0.000128301,5.134,6,802,0.0001484234,0,0,27.255,0,0.95,0.21,0.33,0.85,0,0
1943,1005054.985,0.000104333,5.281,6.2,894,0.0001654495,0,0,26.715,0,0.95,0.21,0.33,0.85,0,0
1944,1005054.985,9.86934E-05,5.08,5.9,763,0.0001412058,0,0,26.225,0,0.95,0.21,0.33,0.85,0,0
1945,1005054.985,9.16438E-05,4.401,5.1,475,8.79066E-05,0,0,25.754,0,0.95,0.21,0.33,0.85,0,0
1946,1005054.985,9.16438E-05,5.568,6.5,1032,0.0001909887,0,0,25.141,0,0.95,0.21,0.33,0.85,0,0
1947,1005054.985,9.02339E-05,5.892,6.9,1244.8,0.0002303709,0,0,24.535,0,0.95,0.21,0.33,0.85,0,0
1948,1005054.985,9.30538E-05,5.436,6.4,986,0.0001824756,0,0,24.026,0,0.95,0.21,0.33,0.85,0,0
1949,1005054.985,9.58736E-05,4.87,5.7,685,0.0001267706,0,0,23.549,0,0.95,0.21,0.33,0.85,0,0
1950,1005054.985,0.000108563,4.282,5,442,8.17994E-05,0,0,23.055,0,0.95,0.21,0.33,0.85,0,0
1951,1005054.985,0.000112792,3.688,4.3,261.2,4.83394E-05,0.015,0.069,23.792,0.084,0.95,0.21,0.33,0.85,0.00553014,2.6420178977841E-05
1952,1005054.985,0.000126891,3.048,3.6,122,2.25781E-05,0.146,0.165,26.117,0.311,0.95,0.21,0.33,0.85,0.020474685,9.78201518319732E-05
1953,1005054.985,0.000139581,2.387,2.8,0,0,0.353,0.209,28.478,0.562,0.95,0.21,0.33,0.85,0.03699927,0.000176785541837
1954,1005054.985,0.00014381,1.894,2.2,0,0,0.547,0.231,30.895,0.778,0.95,0.21,0.33,0.85,0.05121963,0.000244774859042
1955,1005054.985,0.00014663,1.437,1.7,0,0,0.702,0.238,33.17,0.94,0.95,0.21,0.33,0.85,0.0618849,0.000295815811229
1956,1005054.985,0.00014381,1.195,1.4,0,0,0.77,0.247,35.038,1.017,0.95,0.21,0.33,0.85,0.066954195,0.000320142235071
1957,1005054.985,0.000140991,2.03,2.4,0,0,0.761,0.249,36.454,1.01,0.95,0.21,0.33,0.85,0.06649335,0.000318040517732
1958,1005054.985,0.00014663,3.154,3.7,140,2.59093E-05,0.666,0.248,37.316,0.914,0.95,0.21,0.33,0.85,0.06017319,0.000287902488624
1959,1005054.985,0.0001424,4.339,5.1,475,8.79066E-05,0.507,0.239,37.564,0.746,0.95,0.21,0.33,0.85,0.04911291,0.000235051541195
1960,1005054.985,0.000128301,4.944,5.8,724,0.0001339882,0.304,0.217,37.135,0.521,0.95,0.21,0.33,0.85,0.034300035,0.0001641965745
1961,1005054.985,0.000132531,4.902,5.7,685,0.0001267706,0.103,0.163,35.968,0.266,0.95,0.21,0.33,0.85,0.01751211,8.38454155312599E-05
1962,1005054.985,0.00015368,5.289,6.2,894,0.0001654495,0.008,0.047,33.308,0.055,0.95,0.21,0.33,0.85,0.003620925,1.73379118029884E-05
1963,1005054.985,0.000163549,5.357,6.3,940,0.0001739626,0,0,31.214,0,0.95,0.21,0.33,0.85,0,0
1964,1005054.985,0.00015227,5.045,5.9,763,0.0001412058,0,0,29.513,0,0.95,0.21,0.33,0.85,0,0
1965,1005054.985,0.000139581,4.595,5.4,574,0.0001062282,0,0,28.906,0,0.95,0.21,0.33,0.85,0,0
1966,1005054.985,0.000126891,4.676,5.5,607,0.0001123354,0,0,28.944,0,0.95,0.21,0.33,0.85,0,0
1967,1005054.985,0.000114202,4.854,5.7,685,0.0001267706,0,0,27.966,0,0.95,0.21,0.33,0.85,0,0
1968,1005054.985,0.000101513,4.742,5.5,607,0.0001123354,0,0,27.123,0,0.95,0.21,0.33,0.85,0,0
1969,1005054.985,9.16438E-05,4.134,4.8,387.6,7.17318E-05,0,0,26.374,0,0.95,0.21,0.33,0.85,0,0
1970,1005054.985,9.02339E-05,5.248,6.1,848,0.0001569365,0,0,25.657,0,0.95,0.21,0.33,0.85,0,0
1971,1005054.985,9.16438E-05,5.115,6,802,0.0001484234,0,0,25.103,0,0.95,0.21,0.33,0.85,0,0
1972,1005054.985,9.30538E-05,4.32,5.1,475,8.79066E-05,0,0,24.653,0,0.95,0.21,0.33,0.85,0,0
1973,1005054.985,9.44637E-05,3.833,4.5,306,5.66304E-05,0,0,24.227,0,0.95,0.21,0.33,0.85,0,0
1974,1005054.985,9.72835E-05,3.41,4,194,3.59029E-05,0,0,23.8,0,0.95,0.21,0.33,0.85,0,0
1975,1005054.985,0.000111383,2.821,3.3,75.6,1.3991E-05,0.016,0.065,24.52,0.081,0.95,0.21,0.33,0.85,0.005332635,2.55344582785866E-05
1976,1005054.985,0.000122662,2.248,2.6,0,0,0.131,0.173,26.724,0.304,0.95,0.21,0.33,0.85,0.02001384,9.58354757080712E-05
1977,1005054.985,0.000124072,1.883,2.2,0,0,0.311,0.231,29.096,0.542,0.95,0.21,0.33,0.85,0.03568257,0.000170880941699
1978,1005054.985,0.000124072,1.925,2.3,0,0,0.467,0.271,31.447,0.738,0.95,0.21,0.33,0.85,0.04858623,0.00023271529239
1979,1005054.985,0.000117022,1.991,2.3,0,0,0.504,0.329,33.403,0.833,0.95,0.21,0.33,0.85,0.054840555,0.000262733009958
1980,1005054.985,0.000119842,2.307,2.7,0,0,0.631,0.313,35.186,0.944,0.95,0.21,0.33,0.85,0.06214824,0.000297821298387
1981,1005054.985,0.000125482,2.936,3.4,89.8,1.6619E-05,0.641,0.307,36.509,0.948,0.95,0.21,0.33,0.85,0.06241158,0.00029917235294
1982,1005054.985,0.000125482,2.939,3.4,89.8,1.6619E-05,0.503,0.325,37.104,0.828,0.95,0.21,0.33,0.85,0.05451138,0.000261380632705
1983,1005054.985,0.000121252,1.994,2.3,0,0,0.364,0.305,37.204,0.669,0.95,0.21,0.33,0.85,0.044043615,0.000211243189854
1984,1005054.985,0.000112792,2.129,2.5,0,0,0.214,0.255,36.718,0.469,0.95,0.21,0.33,0.85,0.030876615,0.000148122554517
1985,1005054.985,0.000117022,3.576,4.2,238.8,4.41939E-05,0.072,0.171,35.573,0.243,0.95,0.21,0.33,0.85,0.015997905,7.67571706359284E-05
1986,1005054.985,0.000129711,4.844,5.7,685,0.0001267706,0.007,0.048,33.271,0.055,0.95,0.21,0.33,0.85,0.003620925,1.73743557667856E-05
1987,1005054.985,0.000140991,6.191,7.2,1416.8,0.0002622023,0,0,31.186,0,0.95,0.21,0.33,0.85,0,0
1988,1005054.985,0.00015086,6.614,7.7,1723,0.0003188697,0,0,30.27,0,0.95,0.21,0.33,0.85,0,0
1989,1005054.985,0.00014804,6.206,7.3,1476.2,0.0002731953,0,0,30.138,0,0.95,0.21,0.33,0.85,0,0
1990,1005054.985,0.000126891,5.6,6.5,1032,0.0001909887,0,0,29.496,0,0.95,0.21,0.33,0.85,0,0
1991,1005054.985,0.000114202,4.952,5.8,724,0.0001339882,0,0,29.154,0,0.95,0.21,0.33,0.85,0,0
1992,1005054.985,0.000101513,4.739,5.5,607,0.0001123354,0,0,27.973,0,0.95,0.21,0.33,0.85,0,0
1993,1005054.985,9.44637E-05,4.564,5.3,541,0.000100121,0,0,26.955,0,0.95,0.21,0.33,0.85,0,0
1994,1005054.985,9.30538E-05,4.837,5.7,685,0.0001267706,0,0,26.229,0,0.95,0.21,0.33,0.85,0,0
1995,1005054.985,9.16438E-05,3.634,4.2,238.8,4.41939E-05,0,0,25.7,0,0.95,0.21,0.33,0.85,0,0
1996,1005054.985,9.16438E-05,2.296,2.7,0,0,0,0,24.992,0,0.95,0.21,0.33,0.85,0,0
1997,1005054.985,9.30538E-05,1.405,1.6,0,0,0,0,24.392,0,0.95,0.21,0.33,0.85,0,0
1998,1005054.985,9.30538E-05,0.001,0,0,0,0,0,23.954,0,0.95,0.21,0.33,0.85,0,0
1999,1005054.985,9.44637E-05,0.001,0,0,0,0.017,0.068,24.656,0.085,0.95,0.21,0.33,0.85,0.005595975,2.68517436258699E-05
2000,1005054.985,0.000100103,0.001,0,0,0,0.135,0.171,26.82,0.306,0.95,0.21,0.33,0.85,0.02014551,9.66688727809202E-05
2001,1005054.985,0.000100103,1.24,1.4,0,0,0.32,0.227,29.601,0.547,0.95,0.21,0.33,0.85,0.036011745,0.000172820214215
2002,1005054.985,0.000101513,1.439,1.7,0,0,0.495,0.258,32.354,0.753,0.95,0.21,0.33,0.85,0.049573755,0.000237945365469
2003,1005054.985,9.86934E-05,1.616,1.9,0,0,0.636,0.272,34.67,0.908,0.95,0.21,0.33,0.85,0.05977818,0.000286993111849
2004,1005054.985,9.58736E-05,2.055,2.4,0,0,0.67,0.295,36.341,0.965,0.95,0.21,0.33,0.85,0.063530775,0.000305096759936
2005,1005054.985,9.44637E-05,2.889,3.4,89.8,1.6619E-05,0.663,0.296,37.563,0.959,0.95,0.21,0.33,0.85,0.063135765,0.000303292318766
2006,1005054.985,9.86934E-05,2.895,3.4,89.8,1.6619E-05,0.531,0.312,38.087,0.843,0.95,0.21,0.33,0.85,0.055498905,0.000266687166463
2007,1005054.985,0.000100103,2.045,2.4,0,0,0.386,0.295,38.091,0.681,0.95,0.21,0.33,0.85,0.044833635,0.000215495145189
2008,1005054.985,0.000104333,2.383,2.8,0,0,0.218,0.254,37.561,0.472,0.95,0.21,0.33,0.85,0.03107412,0.000149391530197
2009,1005054.985,0.000108563,3.833,4.5,306,5.66304E-05,0.07,0.171,36.419,0.241,0.95,0.21,0.33,0.85,0.015866235,7.6289699529378E-05
2010,1005054.985,0.00014381,4.814,5.6,646,0.000119553,0.006,0.047,34.083,0.053,0.95,0.21,0.33,0.85,0.003489255,1.6778682841739E-05
2011,1005054.985,0.00015227,5.812,6.8,1191.6,0.0002205253,0,0,31.954,0,0.95,0.21,0.33,0.85,0,0
2012,1005054.985,0.00014663,7.343,8.6,2306.6,0.0004268746,0,0,30.906,0,0.95,0.21,0.33,0.85,0,0
2013,1005054.985,0.000133941,6.946,8.1,1982,0.000366802,0,0,30.661,0,0.95,0.21,0.33,0.85,0,0
2014,1005054.985,0.000122662,6.266,7.3,1476.2,0.0002731953,0,0,29.731,0,0.95,0.21,0.33,0.85,0,0
2015,1005054.985,0.000107153,5.382,6.3,940,0.0001739626,0,0,29.129,0,0.95,0.21,0.33,0.85,0,0
2016,1005054.985,9.44637E-05,4.534,5.3,541,0.000100121,0,0,28.102,0,0.95,0.21,0.33,0.85,0,0
2017,1005054.985,8.60042E-05,4.11,4.8,387.6,7.17318E-05,0,0,26.923,0,0.95,0.21,0.33,0.85,0,0
2018,1005054.985,8.8824E-05,5.028,5.9,763,0.0001412058,0,0,26.361,0,0.95,0.21,0.33,0.85,0,0
2019,1005054.985,9.58736E-05,4.9,5.7,685,0.0001267706,0,0,25.87,0,0.95,0.21,0.33,0.85,0,0
2020,1005054.985,0.000107153,4.213,4.9,414.8,7.67656E-05,0,0,24.896,0,0.95,0.21,0.33,0.85,0,0
2021,1005054.985,0.000119842,3.266,3.8,158,2.92405E-05,0,0,24.023,0,0.95,0.21,0.33,0.85,0,0
2022,1005054.985,0.000128301,2.36,2.8,0,0,0,0,23.377,0,0.95,0.21,0.33,0.85,0,0
2023,1005054.985,0.000132531,1.621,1.9,0,0,0.017,0.068,24.082,0.085,0.95,0.21,0.33,0.85,0.005595975,2.69096598397387E-05
2024,1005054.985,0.000138171,1.265,1.5,0,0,0.129,0.178,26.273,0.307,0.95,0.21,0.33,0.85,0.020211345,9.71939751132768E-05
2025,1005054.985,0.000133941,1.256,1.5,0,0,0.311,0.237,29.219,0.548,0.95,0.21,0.33,0.85,0.03607758,0.000173509692638
2026,1005054.985,0.000132531,1.381,1.6,0,0,0.485,0.271,32.248,0.756,0.95,0.21,0.33,0.85,0.04977126,0.000239408925963
2027,1005054.985,0.000132531,1.59,1.9,0,0,0.497,0.341,34.47,0.838,0.95,0.21,0.33,0.85,0.05516973,0.000265440109521
2028,1005054.985,0.0001424,2.252,2.6,0,0,0.558,0.354,36.271,0.912,0.95,0.21,0.33,0.85,0.06004152,0.000288956628941
2029,1005054.985,0.000138171,3.264,3.8,158,2.92405E-05,0.553,0.354,37.586,0.907,0.95,0.21,0.33,0.85,0.059712345,0.000287455499068
2030,1005054.985,0.000128301,3.422,4,194,3.59029E-05,0.507,0.332,38.379,0.839,0.95,0.21,0.33,0.85,0.055235565,0.000265980717508
2031,1005054.985,0.000126891,2.719,3.2,61.4,1.13631E-05,0.378,0.307,38.507,0.685,0.95,0.21,0.33,0.85,0.045096975,0.000217217241024
2032,1005054.985,0.000126891,1.153,1.3,0,0,0.219,0.26,37.977,0.479,0.95,0.21,0.33,0.85,0.031534965,0.000151926517045
2033,1005054.985,0.000139581,2.771,3.2,61.4,1.13631E-05,0.075,0.176,36.795,0.251,0.95,0.21,0.33,0.85,0.016524585,7.96228604528478E-05
2034,1005054.985,0.00015227,4.061,4.7,360.4,6.6698E-05,0.007,0.05,34.434,0.057,0.95,0.21,0.33,0.85,0.003752595,1.80831252716434E-05
2035,1005054.985,0.000167779,5.145,6,802,0.0001484234,0,0,32.11,0,0.95,0.21,0.33,0.85,0,0
2036,1005054.985,0.000162139,7.119,8.3,2116,0.0003916009,0,0,30.991,0,0.95,0.21,0.33,0.85,0,0
2037,1005054.985,0.00014945,6.971,8.1,1982,0.000366802,0,0,30.531,0,0.95,0.21,0.33,0.85,0,0
2038,1005054.985,0.000133941,6.529,7.6,1659,0.0003070255,0,0,30.529,0,0.95,0.21,0.33,0.85,0,0
2039,1005054.985,0.000121252,6.159,7.2,1416.8,0.0002622023,0,0,30.173,0,0.95,0.21,0.33,0.85,0,0
2040,1005054.985,9.02339E-05,5.707,6.7,1138.4,0.0002106798,0,0,29.149,0,0.95,0.21,0.33,0.85,0,0
2041,1005054.985,8.74141E-05,5.443,6.4,986,0.0001824756,0,0,27.744,0,0.95,0.21,0.33,0.85,0,0
2042,1005054.985,8.60042E-05,6.404,7.5,1595,0.0002951812,0,0,26.962,0,0.95,0.21,0.33,0.85,0,0
2043,1005054.985,8.60042E-05,6.047,7.1,1357.4,0.0002512094,0,0,26.488,0,0.95,0.21,0.33,0.85,0,0
2044,1005054.985,9.02339E-05,5.204,6.1,848,0.0001569365,0,0,25.682,0,0.95,0.21,0.33,0.85,0,0
2045,1005054.985,9.86934E-05,4.152,4.9,414.8,7.67656E-05,0,0,24.96,0,0.95,0.21,0.33,0.85,0,0
2046,1005054.985,0.000109973,3.006,3.5,104,1.92469E-05,0,0,24.435,0,0.95,0.21,0.33,0.85,0,0
2047,1005054.985,0.000122662,1.877,2.2,0,0,0.006,0.057,24.82,0.063,0.95,0.21,0.33,0.85,0.004147605,1.99869735692896E-05
2048,1005054.985,0.000132531,0.001,0,0,0,0.045,0.184,26.493,0.229,0.95,0.21,0.33,0.85,0.015076215,7.26525147605163E-05
2049,1005054.985,0.000135351,0.001,0,0,0,0.139,0.293,28.956,0.432,0.95,0.21,0.33,0.85,0.02844072,0.000137066230593
2050,1005054.985,0.000139581,1.262,1.5,0,0,0.314,0.343,31.631,0.657,0.95,0.21,0.33,0.85,0.043253595,0.000208483468403
2051,1005054.985,0.000135351,1.523,1.8,0,0,0.389,0.388,33.916,0.777,0.95,0.21,0.33,0.85,0.051153795,0.000246614055668
2052,1005054.985,0.000132531,2.011,2.4,0,0,0.515,0.376,36.046,0.891,0.95,0.21,0.33,0.85,0.058658985,0.000282866571743
2053,1005054.985,0.000139581,3.132,3.7,140,2.59093E-05,0.525,0.37,37.637,0.895,0.95,0.21,0.33,0.85,0.058922325,0.000284216850788
2054,1005054.985,0.00014381,4.005,4.7,360.4,6.6698E-05,0.517,0.331,38.709,0.848,0.95,0.21,0.33,0.85,0.05582808,0.000269368055553
2055,1005054.985,0.000136761,4.522,5.3,541,0.000100121,0.385,0.308,38.968,0.693,0.95,0.21,0.33,0.85,0.045623655,0.000220191461719
2056,1005054.985,0.000125482,4.332,5.1,475,8.79066E-05,0.226,0.261,38.551,0.487,0.95,0.21,0.33,0.85,0.032061645,0.000154771802167
2057,1005054.985,0.000140991,3.172,3.7,140,2.59093E-05,0.077,0.178,37.478,0.255,0.95,0.21,0.33,0.85,0.016787925,8.10532214523402E-05
2058,1005054.985,0.000166369,3.707,4.3,261.2,4.83394E-05,0.008,0.052,35.325,0.06,0.95,0.21,0.33,0.85,0.0039501,1.90728921434307E-05
2059,1005054.985,0.000160729,4.715,5.5,607,0.0001123354,0,0,33.143,0,0.95,0.21,0.33,0.85,0,0
2060,1005054.985,0.00015227,4.78,5.6,646,0.000119553,0,0,31.577,0,0.95,0.21,0.33,0.85,0,0
2061,1005054.985,0.000132531,5.667,6.6,1085.2,0.0002008343,0,0,30.31,0,0.95,0.21,0.33,0.85,0,0
2062,1005054.985,0.000119842,6.104,7.1,1357.4,0.0002512094,0,0,29.641,0,0.95,0.21,0.33,0.85,0,0
2063,1005054.985,0.000107153,6.068,7.1,1357.4,0.0002512094,0,0,29.143,0,0.95,0.21,0.33,0.85,0,0
2064,1005054.985,9.02339E-05,5.616,6.6,1085.2,0.0002008343,0,0,28.055,0,0.95,0.21,0.33,0.85,0,0
2065,1005054.985,8.8824E-05,4.952,5.8,724,0.0001339882,0,0,27.862,0,0.95,0.21,0.33,0.85,0,0
2066,1005054.985,9.02339E-05,5.26,6.1,848,0.0001569365,0,0,27.359,0,0.95,0.21,0.33,0.85,0,0
2067,1005054.985,9.02339E-05,4.116,4.8,387.6,7.17318E-05,0,0,26.854,0,0.95,0.21,0.33,0.85,0,0
2068,1005054.985,9.44637E-05,2.869,3.4,89.8,1.6619E-05,0,0,26.327,0,0.95,0.21,0.33,0.85,0,0
2069,1005054.985,0.000100103,2.003,2.3,0,0,0,0,25.878,0,0.95,0.21,0.33,0.85,0,0
2070,1005054.985,0.000105743,1.6,1.9,0,0,0,0,25.436,0,0.95,0.21,0.33,0.85,0,0
2071,1005054.985,0.000112792,1.607,1.9,0,0,0.012,0.068,26.098,0.08,0.95,0.21,0.33,0.85,0.0052668,2.54310079007784E-05
2072,1005054.985,0.000126891,1.744,2,0,0,0.091,0.192,28.2,0.283,0.95,0.21,0.33,0.85,0.018631305,8.99644783363628E-05
2073,1005054.985,0.000138171,1.988,2.3,0,0,0.239,0.272,30.794,0.511,0.95,0.21,0.33,0.85,0.033641685,0.000162459309666
2074,1005054.985,0.0001424,2.293,2.7,0,0,0.35,0.335,33.147,0.685,0.95,0.21,0.33,0.85,0.045096975,0.0002178135211
2075,1005054.985,0.000135351,2.781,3.3,75.6,1.3991E-05,0.424,0.381,35.105,0.805,0.95,0.21,0.33,0.85,0.052997175,0.000256026400297
2076,1005054.985,0.000140991,3.677,4.3,261.2,4.83394E-05,0.434,0.414,36.546,0.848,0.95,0.21,0.33,0.85,0.05582808,0.000269771413265
2077,1005054.985,0.00014522,5.296,6.2,894,0.0001654495,0.331,0.449,37.34,0.78,0.95,0.21,0.33,0.85,0.0513513,0.000248205758755
2078,1005054.985,0.0001424,6.784,7.9,1851,0.0003425582,0.324,0.412,37.849,0.736,0.95,0.21,0.33,0.85,0.04845456,0.000234262553576
2079,1005054.985,0.000139581,7.314,8.6,2306.6,0.0004268746,0.235,0.366,37.867,0.601,0.95,0.21,0.33,0.85,0.039566835,0.000191338022654
2080,1005054.985,0.000128301,7.067,8.3,2116,0.0003916009,0.125,0.289,37.354,0.414,0.95,0.21,0.33,0.85,0.02725569,0.000131828786885
2081,1005054.985,0.000140991,6.065,7.1,1357.4,0.0002512094,0.043,0.176,36.251,0.219,0.95,0.21,0.33,0.85,0.014417865,6.97447120610263E-05
2082,1005054.985,0.000159319,5.475,6.4,986,0.0001824756,0.004,0.047,34.008,0.051,0.95,0.21,0.33,0.85,0.003357585,1.6243052114081E-05
2083,1005054.985,0.000164959,5.633,6.6,1085.2,0.0002008343,0,0,31.564,0,0.95,0.21,0.33,0.85,0,0
2084,1005054.985,0.00014804,5.749,6.7,1138.4,0.0002106798,0,0,30.273,0,0.95,0.21,0.33,0.85,0,0
2085,1005054.985,0.000133941,5.489,6.4,986,0.0001824756,0,0,29.678,0,0.95,0.21,0.33,0.85,0,0
2086,1005054.985,0.000121252,5.283,6.2,894,0.0001654495,0,0,29.222,0,0.95,0.21,0.33,0.85,0,0
2087,1005054.985,0.000105743,5.321,6.2,894,0.0001654495,0,0,28.784,0,0.95,0.21,0.33,0.85,0,0
2088,1005054.985,9.30538E-05,6.091,7.1,1357.4,0.0002512094,0,0,28.322,0,0.95,0.21,0.33,0.85,0,0
2089,1005054.985,9.16438E-05,5.41,6.3,940,0.0001739626,0,0,28.003,0,0.95,0.21,0.33,0.85,0,0
2090,1005054.985,9.02339E-05,6.451,7.5,1595,0.0002951812,0,0,27.718,0,0.95,0.21,0.33,0.85,0,0
2091,1005054.985,9.16438E-05,6.088,7.1,1357.4,0.0002512094,0,0,27.369,0,0.95,0.21,0.33,0.85,0,0
2092,1005054.985,9.30538E-05,5.104,6,802,0.0001484234,0,0,26.972,0,0.95,0.21,0.33,0.85,0,0
2093,1005054.985,0.000100103,3.882,4.5,306,5.66304E-05,0,0,26.522,0,0.95,0.21,0.33,0.85,0,0
2094,1005054.985,0.000105743,2.53,3,33,6.1072E-06,0,0,26.253,0,0.95,0.21,0.33,0.85,0,0
2095,1005054.985,0.000117022,1.634,1.9,0,0,0.009,0.066,26.886,0.075,0.95,0.21,0.33,0.85,0.004937625,2.38872293457479E-05
2096,1005054.985,0.000129711,1.406,1.6,0,0,0.078,0.195,28.763,0.273,0.95,0.21,0.33,0.85,0.017972955,8.69515918511389E-05
2097,1005054.985,0.000140991,1.722,2,0,0,0.192,0.289,30.888,0.481,0.95,0.21,0.33,0.85,0.031666635,0.000153213745917
2098,1005054.985,0.00014381,2.21,2.6,0,0,0.3,0.356,33.056,0.656,0.95,0.21,0.33,0.85,0.04318776,0.000208988812727
2099,1005054.985,0.000138171,2.422,2.8,0,0,0.378,0.401,34.969,0.779,0.95,0.21,0.33,0.85,0.051285465,0.000248226091589
2100,1005054.985,0.000135351,3.146,3.7,140,2.59093E-05,0.417,0.424,36.566,0.841,0.95,0.21,0.33,0.85,0.055367235,0.000268048748537
2101,1005054.985,0.00014663,4.594,5.4,574,0.0001062282,0.349,0.447,37.529,0.796,0.95,0.21,0.33,0.85,0.05240466,0.000253774092598
2102,1005054.985,0.00014381,5.46,6.4,986,0.0001824756,0.33,0.413,38.065,0.743,0.95,0.21,0.33,0.85,0.048915405,0.000236937202393
