dam,costs,flow_factor,power
1,14460000,0.014662756598241,260
2,96400000,0.097751710654937,1734
3,215936000,0.218963831867058,3883
4,9640000,0.009775171065494,174
5,215936000,0.218963831867058,3883
6,433800000,0.439882697947214,7800
7,1,1,9000
