;Hour;Energy Demand;Water Demand;Factor Wind;Wind Output;Wind Usage;Wind Over;Factor PV;PV Output;PV Usage;PV Over;Dam Output;Storage;Turbine Water;River;Water Balance;Valve;Installed Wind;Installed PV
0;0;22,78;10956,11;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;22,78;1876369,32;467958,82;764715,75;285800,81;0,0;13,34;81,09
1;1;23,52;7825,79;0,14;1,84;0,0;1,84;0,0;0,0;0,0;0,0;23,52;2149726,45;483301,56;764484,48;273357,13;0,0;13,34;81,09
2;2;25,39;5947,6;0,08;1,06;0,0;1,06;0,0;0,0;0,0;0,0;25,39;2386373,06;521659,0;764253,22;236646,62;0,0;13,34;81,09
3;3;28,38;4695,48;0,03;0,4;0,0;0,4;0,0;0,0;0,0;0,0;28,38;2562669,0;583030,54;764021,95;176295,94;0,0;13,34;81,09
4;4;31,74;5947,6;0,03;0,34;0,0;0,34;0,0;0,0;0,0;0,0;31,74;2668436,85;652075,25;763790,69;105767,84;0,0;13,34;81,09
5;5;33,98;9077,92;0,03;0,4;0,0;0,4;0,0;0,0;0,0;0,0;33,98;2724817,3;698101,05;763559,42;56380,45;0,0;13,34;81,09
6;6;35,1;17373,26;0,03;0,46;0,0;0,46;0,13;10,34;0,0;10,34;35,1;2749655,24;721116,96;763328,16;24837,94;0,0;13,34;81,09
7;7;36,59;21599,19;0,06;0,78;0,0;0,78;0,25;20,5;0,0;20,5;36,59;2739348,12;751804,82;763096,9;-10307,12;0,0;13,34;81,09
8;8;35,47;22694,8;0,09;1,16;0,0;1,16;0,36;29,21;0,0;29,21;35,47;2750730,03;728788,92;762865,63;11381,91;0,0;13,34;81,09
9;9;35,1;21129,64;0,16;2,11;0,0;2,11;0,44;35,58;0,0;35,58;35,1;2771117,79;721116,96;762634,37;20387,77;0,0;13,34;81,09
10;10;35,1;17999,33;0,28;3,77;0,0;3,77;0,48;38,61;0,0;38,61;35,1;2794404,61;721116,96;762403,1;23286,82;0,0;13,34;81,09
11;11;37,71;16121,14;0,47;6,3;0,0;6,3;0,47;38,4;0,0;38,4;37,71;2765640,58;774814,73;762171,84;-28764,03;0,0;13,34;81,09
12;12;36,59;15495,07;0,6;7,94;0,0;7,94;0,43;34,89;0,0;34,89;36,59;2760281,26;751804,82;761940,57;-5359,32;0,0;13,34;81,09
13;13;33,98;15338,56;0,57;7,66;0,0;7,66;0,35;28,4;0,0;28,4;33,98;2808550,95;698101,05;761709,31;48269,7;0,0;13,34;81,09
14;14;33,6;15182,04;0,38;5,06;0,0;5,06;0,24;19,52;0,0;19,52;33,6;2864417,87;690429,09;761478,04;55866,91;0,0;13,34;81,09
15;15;33,6;15025,52;0,17;2,26;0,0;2,26;0,11;9,14;0,0;9,14;33,6;2920210,03;690429,09;761246,78;55792,17;0,0;13,34;81,09
16;16;36,96;16434,17;0,08;1,06;0,0;1,06;0,01;0,81;0,0;0,81;36,96;2905320,58;759470,8;761015,51;-14889,45;0,0;13,34;81,09
17;17;40,32;18781,91;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;40,32;2818804,42;828518,5;760784,25;-86516,16;0,0;13,34;81,09
18;18;44,43;21912,22;0,06;0,78;0,0;0,78;0,0;0,0;0,0;0,0;44,43;2644541,04;912904,14;760552,98;-174263,39;0,0;13,34;81,09
19;19;42,94;23164,35;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;42,94;2499482,13;882216,28;760321,72;-145058,91;0,0;13,34;81,09
20;20;39,58;22225,25;0,1;1,36;0,0;1,36;0,0;0,0;0,0;0,0;39,58;2424172,76;813174,57;760090,45;-75309,37;0,0;13,34;81,09
21;21;35,47;20347,06;0,12;1,6;0,0;1,6;0,0;0,0;0,0;0,0;35,47;2434895,96;728788,92;759859,19;10723,2;0,0;13,34;81,09
22;22;32,11;17216,75;0,11;1,48;0,0;1,48;0,0;0,0;0,0;0,0;32,11;2517559,92;659747,21;759627,92;82663,96;0,0;13,34;81,09
23;23;23,9;12521,27;0,09;1,26;0,0;1,26;0,0;0,0;0,0;0,0;23,9;2773462,38;490972,93;759396,66;255902,46;0,0;13,34;81,09
24;24;23,15;10956,11;0,03;0,46;0,0;0,46;0,0;0,0;0,0;0,0;23,15;3046041,47;475630,19;759165,39;272579,09;0,0;13,34;81,09
25;25;22,78;7825,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,78;3329190,98;467958,82;758934,13;283149,51;0,0;13,34;81,09
26;26;22,78;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,78;3613987,42;467958,82;758702,86;284796,44;0,0;13,34;81,09
27;27;23,9;4695,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,9;3876790,61;490972,93;758471,6;262803,19;0,0;13,34;81,09
28;28;26,14;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,14;4092081,61;537001,73;758240,33;215291,0;0,0;13,34;81,09
29;29;29,12;9077,92;0,0;0,0;0,0;0,0;0,02;1,28;0,0;1,28;29,12;4242639,48;598373,27;758009,07;150557,87;0,0;13,34;81,09
30;30;32,48;17373,26;0,0;0,0;0,0;0,0;0,12;10,12;0,0;10,12;32,48;4315624,85;667419,18;757777,8;72985,36;0,0;13,34;81,09
31;31;35,1;21599,19;0,02;0,27;0,0;0,27;0,25;20,2;0,0;20,2;35,1;4330455,24;721116,96;757546,54;14830,39;0,0;13,34;81,09
32;32;35,84;22694,8;0,04;0,54;0,0;0,54;0,36;28,83;0,0;28,83;35,84;4328614,82;736460,89;757315,27;-1840,42;0,0;13,34;81,09
33;33;36,96;21129,64;0,09;1,16;0,0;1,16;0,44;35,49;0,0;35,49;36,96;4305098,39;759470,8;757084,01;-23516,43;0,0;13,34;81,09
34;34;35,84;17999,33;0,2;2,7;0,0;2,7;0,48;38,52;0,0;38,52;35,84;4307490,92;736460,89;756852,74;2392,53;0,0;13,34;81,09
35;35;35,1;16121,14;0,33;4,38;0,0;4,38;0,47;38,27;0,0;38,27;35,1;4326874,31;721116,96;756621,48;19383,39;0,0;13,34;81,09
36;36;36,96;15495,07;0,45;6,03;0,0;6,03;0,43;34,77;0,0;34,77;36,96;4308298,66;759470,8;756390,21;-18575,65;0,0;13,34;81,09
37;37;38,08;15338,56;0,6;7,94;0,0;7,94;0,35;28,23;0,0;28,23;38,08;4266632,35;782486,7;756158,95;-41666,3;0,0;13,34;81,09
38;38;36,22;15182,04;0,64;8,51;0,0;8,51;0,23;19,01;0,0;19,01;36,22;4263245,14;744132,86;755927,68;-3387,21;0,0;13,34;81,09
39;39;33,23;15025,52;0,51;6,83;0,0;6,83;0,11;8,58;0,0;8,58;33,23;4321158,92;682757,12;755696,42;57913,78;0,0;13,34;81,09
40;40;37,34;16434,17;0,34;4,59;0,0;4,59;0,01;0,77;0,0;0,77;37,34;4293047,14;767142,76;755465,16;-28111,78;0,0;13,34;81,09
41;41;44,06;18781,91;0,27;3,57;0,0;3,57;0,0;0,0;0,0;0,0;44,06;4124266,95;905232,18;755233,89;-168780,19;0,0;13,34;81,09
42;42;42,56;21912,22;0,25;3,39;0,0;3,39;0,0;0,0;0,0;0,0;42,56;3982813,04;874544,31;755002,63;-141453,91;0,0;13,34;81,09
43;43;40,32;23164,35;0,24;3,22;0,0;3,22;0,0;0,0;0,0;0,0;40,32;3885901,55;828518,5;754771,36;-96911,49;0,0;13,34;81,09
44;44;35,1;22225,25;0,24;3,22;0,0;3,22;0,0;0,0;0,0;0,0;35,1;3897099,44;721116,96;754540,1;11197,89;0,0;13,34;81,09
45;45;31,74;20347,06;0,24;3,22;0,0;3,22;0,0;0,0;0,0;0,0;31,74;3978985,96;652075,25;754308,83;81886,52;0,0;13,34;81,09
46;46;28,38;17216,75;0,23;3,04;0,0;3,04;0,0;0,0;0,0;0,0;28,38;4132816,24;583030,54;754077,57;153830,28;0,0;13,34;81,09
47;47;23,9;12521,27;0,22;2,87;0,0;2,87;0,0;0,0;0,0;0,0;23,9;4383168,35;490972,93;753846,3;250352,1;0,0;13,34;81,09
48;48;23,52;10956,11;0,05;0,62;0,0;0,62;0,0;0,0;0,0;0,0;23,52;4642525,71;483301,56;753615,04;259357,37;0,0;13,34;81,09
49;49;23,9;7825,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,9;4897110,76;490972,93;753383,77;254585,05;0,0;13,34;81,09
50;50;23,9;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,9;5153342,74;490972,93;753152,51;256231,98;0,0;13,34;81,09
51;51;25,02;4695,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,02;5387581,47;513987,03;752921,24;234238,74;0,0;13,34;81,09
52;52;26,51;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,51;5589650,75;544673,1;752689,98;202069,27;0,0;13,34;81,09
53;53;28,0;9077,92;0,0;0,0;0,0;0,0;0,02;1,32;0,0;1,32;28,0;5757672,37;575359,17;752458,71;168021,62;0,0;13,34;81,09
54;54;29,87;17373,26;0,03;0,46;0,0;0,46;0,13;10,21;0,0;10,21;29,87;5878811,14;613715,41;752227,45;121138,78;0,0;13,34;81,09
55;55;33,6;21599,19;0,08;1,06;0,0;1,06;0,25;20,42;0,0;20,42;33,6;5918779,05;690429,09;751996,18;39967,9;0,0;13,34;81,09
56;56;36,59;22694,8;0,15;1,96;0,0;1,96;0,36;29,09;0,0;29,09;36,59;5896044,34;751804,82;751764,92;-22734,71;0,0;13,34;81,09
57;57;37,71;21129,64;0,24;3,22;0,0;3,22;0,44;35,62;0,0;35,62;37,71;5851633,62;774814,73;751533,65;-44410,72;0,0;13,34;81,09
58;58;35,84;17999,33;0,41;5,53;0,0;5,53;0,48;38,78;0,0;38,78;35,84;5848475,79;736460,89;751302,39;-3157,83;0,0;13,34;81,09
59;59;37,34;16121,14;0,64;8,51;0,0;8,51;0,48;38,57;0,0;38,57;37,34;5816283,02;767142,76;751071,12;-32192,78;0,0;13,34;81,09
60;60;38,46;15495,07;0,79;10,5;0,0;10,5;0,43;35,06;0,0;35,06;38,46;5761469,14;790158,67;750839,86;-54813,88;0,0;13,34;81,09
61;61;37,71;15338,56;0,71;9,41;0,0;9,41;0,35;28,62;0,0;28,62;37,71;5721924,44;774814,73;750608,59;-39544,69;0,0;13,34;81,09
62;62;36,96;15182,04;0,43;5,77;0,0;5,77;0,24;19,69;0,0;19,69;36,96;5697648,94;759470,8;750377,33;-24275,51;0,0;13,34;81,09
63;63;33,98;15025,52;0,23;3,04;0,0;3,04;0,12;9,35;0,0;9,35;33,98;5734668,42;698101,05;750146,06;37019,49;0,0;13,34;81,09
64;64;37,34;16434,17;0,22;2,87;0,0;2,87;0,01;0,85;0,0;0,85;37,34;5701006,29;767142,76;749914,8;-33662,13;0,0;13,34;81,09
65;65;42,19;18781,91;0,28;3,77;0,0;3,77;0,0;0,0;0,0;0,0;42,19;5565035,58;866872,34;749683,53;-135970,71;0,0;13,34;81,09
66;66;43,68;21912,22;0,34;4,59;0,0;4,59;0,0;0,0;0,0;0,0;43,68;5395015,41;897560,21;749452,27;-170020,16;0,0;13,34;81,09
67;67;39,2;23164,35;0,31;4,18;0,0;4,18;0,0;0,0;0,0;0,0;39,2;5315569,47;805502,6;749221,0;-79445,94;0,0;13,34;81,09
68;68;35,47;22225,25;0,23;3,04;0,0;3,04;0,0;0,0;0,0;0,0;35,47;5313545,03;728788,92;748989,74;-2024,44;0,0;13,34;81,09
69;69;32,11;20347,06;0,18;2,4;0,0;2,4;0,0;0,0;0,0;0,0;32,11;5382209,23;659747,21;748758,47;68664,2;0,0;13,34;81,09
70;70;28,0;17216,75;0,16;2,11;0,0;2,11;0,0;0,0;0,0;0,0;28,0;5538160,52;575359,17;748527,21;155951,29;0,0;13,34;81,09
71;71;24,64;12521,27;0,15;1,96;0,0;1,96;0,0;0,0;0,0;0,0;24,64;5767619,54;506315,66;748295,95;229459,01;0,0;13,34;81,09
72;72;24,27;10956,11;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;24,27;6006083,81;498644,29;748064,68;238464,27;0,0;13,34;81,09
73;73;23,9;7825,79;0,09;1,26;0,0;1,26;0,0;0,0;0,0;0,0;23,9;6240000,0;490972,93;747833,42;249034,69;15118,5;13,34;81,09
74;74;24,27;5947,6;0,03;0,4;0,0;0,4;0,0;0,0;0,0;0,0;24,27;6240000,0;498644,29;747602,15;243010,25;243010,25;13,34;81,09
75;75;24,64;4695,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,64;6240000,0;506315,66;747370,89;236359,75;236359,75;13,34;81,09
76;76;26,51;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,51;6240000,0;544673,1;747139,62;196518,92;196518,92;13,34;81,09
77;77;28,0;9077,92;0,0;0,0;0,0;0,0;0,02;1,37;0,0;1,37;28,0;6240000,0;575359,17;746908,36;162471,26;162471,26;13,34;81,09
78;78;30,99;17373,26;0,03;0,46;0,0;0,46;0,13;10,25;0,0;10,25;30,99;6240000,0;636731,31;746677,09;92572,52;92572,52;13,34;81,09
79;79;34,35;21599,19;0,09;1,16;0,0;1,16;0,25;20,42;0,0;20,42;34,35;6240000,0;705773,02;746445,83;19073,61;19073,61;13,34;81,09
80;80;37,34;22694,8;0,16;2,11;0,0;2,11;0,36;29,04;0,0;29,04;37,34;6196377,0;767142,76;746214,56;-43623,0;0,0;13,34;81,09
81;81;38,08;21129,64;0,3;3,97;0,0;3,97;0,44;35,75;0,0;35,75;38,08;6138743,95;782486,7;745983,3;-57633,04;0,0;13,34;81,09
82;82;36,59;17999,33;0,55;7,37;0,0;7,37;0,48;38,74;0,0;38,74;36,59;6114691,83;751804,82;745752,03;-24052,12;0,0;13,34;81,09
83;83;35,84;16121,14;0,81;10,76;0,0;10,76;0,47;38,44;0,0;38,44;35,84;6107630,58;736460,89;745520,77;-7061,26;0,0;13,34;81,09
84;84;38,83;15495,07;0,83;11,01;0,0;11,01;0,43;34,85;0,0;34,85;38,83;6039594,37;797830,63;745289,5;-68036,2;0,0;13,34;81,09
85;85;38,08;15338,56;0,57;7,66;0,0;7,66;0,35;28,32;0,0;28,32;38,08;5986827,36;782486,7;745058,24;-52767,02;0,0;13,34;81,09
86;86;36,59;15182,04;0,38;5,06;0,0;5,06;0,24;19,39;0,0;19,39;36,59;5964667,47;751804,82;744826,97;-22159,89;0,0;13,34;81,09
87;87;35,1;15025,52;0,28;3,77;0,0;3,77;0,11;9,01;0,0;9,01;35,1;5973120,69;721116,96;744595,71;8453,23;0,0;13,34;81,09
88;88;38,46;16434,17;0,27;3,57;0,0;3,57;0,01;0,85;0,0;0,85;38,46;5910892,31;790158,67;744364,44;-62228,39;0,0;13,34;81,09
89;89;44,06;18781,91;0,31;4,18;0,0;4,18;0,0;0,0;0,0;0,0;44,06;5731011,4;905232,18;744133,18;-179880,9;0,0;13,34;81,09
90;90;42,94;21912,22;0,23;3,04;0,0;3,04;0,0;0,0;0,0;0,0;42,94;5570784,82;882216,28;743901,91;-160226,59;0,0;13,34;81,09
91;91;40,7;23164,35;0,14;1,84;0,0;1,84;0,0;0,0;0,0;0,0;40,7;5455100,65;836190,47;743670,65;-115684,17;0,0;13,34;81,09
92;92;37,34;22225,25;0,09;1,26;0,0;1,26;0,0;0,0;0,0;0,0;37,34;5409172,01;767142,76;743439,38;-45928,63;0,0;13,34;81,09
93;93;33,98;20347,06;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;33,98;5433932,01;698101,05;743208,12;24760,0;0,0;13,34;81,09
94;94;27,63;17216,75;0,08;1,06;0,0;1,06;0,0;0,0;0,0;0,0;27,63;5592004,92;567687,2;742976,85;158072,9;0,0;13,34;81,09
95;95;26,14;12521,27;0,06;0,78;0,0;0,78;0,0;0,0;0,0;0,0;26,14;5785227,5;537001,73;742745,59;193222,59;0,0;13,34;81,09
96;96;24,27;10956,11;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;24,27;6018141,42;498644,29;742514,32;232913,92;0,0;13,34;81,09
97;97;24,27;7825,79;0,15;1,96;0,0;1,96;0,0;0,0;0,0;0,0;24,27;6240000,0;498644,29;742283,06;235812,97;13954,39;13,34;81,09
98;98;23,9;5947,6;0,08;1,06;0,0;1,06;0,0;0,0;0,0;0,0;23,9;6240000,0;490972,93;742051,79;245131,26;245131,26;13,34;81,09
99;99;24,64;4695,48;0,03;0,34;0,0;0,34;0,0;0,0;0,0;0,0;24,64;6240000,0;506315,66;741820,53;230809,39;230809,39;13,34;81,09
100;100;25,39;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,39;6240000,0;521659,0;741589,26;213982,66;213982,66;13,34;81,09
101;101;28,75;9077,92;0,0;0,0;0,0;0,0;0,02;1,41;0,0;1,41;28,75;6240000,0;590701,91;741358,0;141578,17;141578,17;13,34;81,09
102;102;29,87;17373,26;0,0;0,0;0,0;0,0;0,13;10,63;0,0;10,63;29,87;6240000,0;613715,41;741126,73;110038,06;110038,06;13,34;81,09
103;103;33,6;21599,19;0,0;0,0;0,0;0,0;0,26;20,84;0,0;20,84;33,6;6240000,0;690429,09;740895,47;28867,19;28867,19;13,34;81,09
104;104;36,96;22694,8;0,02;0,27;0,0;0,27;0,36;29,56;0,0;29,56;36,96;6198498,61;759470,8;740664,21;-41501,39;0,0;13,34;81,09
105;105;38,08;21129,64;0,09;1,16;0,0;1,16;0,44;35,49;0,0;35,49;38,08;6135315,21;782486,7;740432,94;-63183,4;0,0;13,34;81,09
106;106;38,83;17999,33;0,23;3,04;0,0;3,04;0,48;38,52;0,0;38,52;38,83;6059686,92;797830,63;740201,68;-75628,28;0,0;13,34;81,09
107;107;38,08;16121,14;0,36;4,82;0,0;4,82;0,47;38,27;0,0;38,27;38,08;6001049,5;782486,7;739970,41;-58637,42;0,0;13,34;81,09
108;108;37,34;15495,07;0,25;3,39;0,0;3,39;0,43;34,68;0,0;34,68;37,34;5958150,81;767142,76;739739,15;-42898,69;0,0;13,34;81,09
109;109;38,83;15338,56;0,08;1,06;0,0;1,06;0,35;28,06;0,0;28,06;38,83;5884489,5;797830,63;739507,88;-73661,31;0,0;13,34;81,09
110;110;37,71;15182,04;0,0;0,0;0,0;0,0;0,23;19,05;0,0;19,05;37,71;5833769,35;774814,73;739276,62;-50720,15;0,0;13,34;81,09
111;111;33,98;15025,52;0,04;0,54;0,0;0,54;0,11;8,71;0,0;8,71;33,98;5859688,12;698101,05;739045,35;25918,77;0,0;13,34;81,09
112;112;35,1;16434,17;0,1;1,36;0,0;1,36;0,01;0,81;0,0;0,81;35,1;5860951,09;721116,96;738814,09;1262,96;0,0;13,34;81,09
113;113;40,7;18781,91;0,16;2,11;0,0;2,11;0,0;0,0;0,0;0,0;40,7;5744561,54;836190,47;738582,82;-116389,55;0,0;13,34;81,09
114;114;43,31;21912,22;0,23;3,04;0,0;3,04;0,0;0,0;0,0;0,0;43,31;5571112,63;889888,24;738351,56;-173448,91;0,0;13,34;81,09
115;115;40,32;23164,35;0,27;3,57;0,0;3,57;0,0;0,0;0,0;0,0;40,32;5457550,07;828518,5;738120,29;-113562,56;0,0;13,34;81,09
116;116;36,96;22225,25;0,3;3,97;0,0;3,97;0,0;0,0;0,0;0,0;36,96;5413743,04;759470,8;737889,03;-43807,02;0,0;13,34;81,09
117;117;33,6;20347,06;0,28;3,77;0,0;3,77;0,0;0,0;0,0;0,0;33,6;5440624,66;690429,09;737657,76;26881,61;0,0;13,34;81,09
118;118;30,24;17216,75;0,27;3,57;0,0;3,57;0,0;0,0;0,0;0,0;30,24;5539447,03;621387,38;737426,5;98822,37;0,0;13,34;81,09
119;119;26,88;12521,27;0,25;3,39;0,0;3,39;0,0;0,0;0,0;0,0;26,88;5711776,52;552344,47;737195,23;172329,49;0,0;13,34;81,09
120;120;24,27;10956,11;0,11;1,48;0,0;1,48;0,0;0,0;0,0;0,0;24,27;5939140,09;498644,29;736963,97;227363,56;0,0;13,34;81,09
121;121;23,9;7825,79;0,09;1,26;0,0;1,26;0,0;0,0;0,0;0,0;23,9;6177074,07;490972,93;736732,7;237933,98;0,0;13,34;81,09
122;122;24,27;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,27;6240000,0;498644,29;736501,44;231909,54;168983,61;13,34;81,09
123;123;24,64;4695,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,64;6240000,0;506315,66;736270,17;225259,03;225259,03;13,34;81,09
124;124;25,02;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,02;6240000,0;513987,03;736038,91;216104,27;216104,27;13,34;81,09
125;125;25,76;9077,92;0,0;0,0;0,0;0,0;0,02;1,24;0,0;1,24;25,76;6240000,0;529330,37;735807,64;197399,36;197399,36;13,34;81,09
126;126;29,5;17373,26;0,0;0,0;0,0;0,0;0,12;9,48;0,0;9,48;29,5;6240000,0;606043,44;735576,38;112159,67;112159,67;13,34;81,09
127;127;32,48;21599,19;0,02;0,21;0,0;0,21;0,24;19,56;0,0;19,56;32,48;6240000,0;667419,18;735345,11;46326,74;46326,74;13,34;81,09
128;128;32,86;22694,8;0,05;0,7;0,0;0,7;0,35;28,27;0,0;28,27;32,86;6240000,0;675085,15;735113,85;37333,89;37333,89;13,34;81,09
129;129;32,86;21129,64;0,12;1,6;0,0;1,6;0,45;36,13;0,0;36,13;32,86;6240000,0;675085,15;734882,58;38667,79;38667,79;13,34;81,09
130;130;30,99;17999,33;0,23;3,04;0,0;3,04;0,48;39,12;0,0;39,12;30,99;6240000,0;636731,31;734651,32;79920,68;79920,68;13,34;81,09
131;131;31,74;16121,14;0,33;4,38;0,0;4,38;0,48;38,87;0,0;38,87;31,74;6240000,0;652075,25;734420,05;66223,67;66223,67;13,34;81,09
132;132;33,23;15495,07;0,3;3,97;0,0;3,97;0,44;35,28;0,0;35,28;33,23;6240000,0;682757,12;734188,79;35936,6;35936,6;13,34;81,09
133;133;33,23;15338,56;0,11;1,48;0,0;1,48;0,35;28,7;0,0;28,7;33,23;6240000,0;682757,12;733957,52;35861,85;35861,85;13,34;81,09
134;134;32,11;15182,04;0,0;0,0;0,0;0,0;0,24;19,65;0,0;19,65;32,11;6240000,0;659747,21;733726,26;58797,01;58797,01;13,34;81,09
135;135;29,87;15025,52;0,05;0,62;0,0;0,62;0,11;9,18;0,0;9,18;29,87;6240000,0;613715,41;733495,0;104754,06;104754,06;13,34;81,09
136;136;30,99;16434,17;0,13;1,72;0,0;1,72;0,01;0,85;0,0;0,85;30,99;6240000,0;636731,31;733263,73;80098,25;80098,25;13,34;81,09
137;137;34,35;18781,91;0,33;4,38;0,0;4,38;0,0;0,0;0,0;0,0;34,35;6240000,0;705773,02;733032,47;8477,54;8477,54;13,34;81,09
138;138;37,34;21912,22;0,49;6,56;0,0;6,56;0,0;0,0;0,0;0,0;37,34;6183746,21;767142,76;732801,2;-56253,79;0,0;13,34;81,09
139;139;39,95;23164,35;0,47;6,3;0,0;6,3;0,0;0,0;0,0;0,0;39,95;6072305,27;820846,53;732569,94;-111440,95;0,0;13,34;81,09
140;140;39,2;22225,25;0,38;5,06;0,0;5,06;0,0;0,0;0,0;0,0;39,2;5976916,08;805502,6;732338,67;-95389,18;0,0;13,34;81,09
141;141;33,6;20347,06;0,27;3,57;0,0;3,57;0,0;0,0;0,0;0,0;33,6;5998247,34;690429,09;732107,41;21331,26;0,0;13,34;81,09
142;142;30,24;17216,75;0,2;2,7;0,0;2,7;0,0;0,0;0,0;0,0;30,24;6091519,36;621387,38;731876,14;93272,02;0,0;13,34;81,09
143;143;26,88;12521,27;0,16;2,11;0,0;2,11;0,0;0,0;0,0;0,0;26,88;6240000,0;552344,47;731644,88;166779,14;18298,5;13,34;81,09
144;144;25,02;10956,11;0,07;0,96;0,0;0,96;0,0;0,0;0,0;0,0;25,02;6240000,0;513987,03;731413,61;206470,47;206470,47;13,34;81,09
145;145;24,64;7825,79;0,08;1,06;0,0;1,06;0,0;0,0;0,0;0,0;24,64;6240000,0;506315,66;731182,35;217040,89;217040,89;13,34;81,09
146;146;24,27;5947,6;0,03;0,34;0,0;0,34;0,0;0,0;0,0;0,0;24,27;6240000,0;498644,29;730951,08;226359,18;226359,18;13,34;81,09
147;147;24,27;4695,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,27;6240000,0;498644,29;730719,82;227380,05;227380,05;13,34;81,09
148;148;24,64;5947,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,64;6240000,0;506315,66;730488,55;218225,29;218225,29;13,34;81,09
149;149;24,64;9077,92;0,0;0,0;0,0;0,0;0,02;1,41;0,0;1,41;24,64;6240000,0;506315,66;730257,29;214863,7;214863,7;13,34;81,09
150;150;25,02;17373,26;0,02;0,21;0,0;0,21;0,13;10,72;0,0;10,72;25,02;6240000,0;513987,03;730026,02;198665,73;198665,73;13,34;81,09
151;151;26,51;21599,19;0,04;0,54;0,0;0,54;0,26;21,18;0,0;21,18;26,51;6240000,0;544673,1;729794,76;163522,47;163522,47;13,34;81,09
152;152;26,51;22694,8;0,07;0,96;0,0;0,96;0,37;30,07;0,0;30,07;26,51;6240000,0;544673,1;729563,49;162195,59;162195,59;13,34;81,09
153;153;26,88;21129,64;0,1;1,36;0,0;1,36;0,45;36,43;0,0;36,43;26,88;6240000,0;552344,47;729332,23;155858,12;155858,12;13,34;81,09
154;154;26,14;17999,33;0,12;1,6;0,0;1,6;0,49;39,34;0,0;39,34;26,14;6240000,0;537001,73;729100,96;174099,9;174099,9;13,34;81,09
155;155;25,39;16121,14;0,11;1,48;0,0;1,48;0,47;38,18;0,0;38,18;25,39;6240000,0;521659,0;728869,7;191089,57;191089,57;13,34;81,09
156;156;25,02;15495,07;0,04;0,54;0,0;0,54;0,41;33,36;0,0;33,36;25,02;6240000,0;513987,03;728638,43;199156,33;199156,33;13,34;81,09
157;157;26,14;15338,56;0,0;0,0;0,0;0,0;0,32;25,58;0,0;25,58;26,14;6240000,0;537001,73;728407,17;176066,88;176066,88;13,34;81,09
158;158;26,51;15182,04;0,0;0,0;0,0;0,0;0,21;16,7;0,0;16,7;26,51;6240000,0;544673,1;728175,9;168320,76;168320,76;13,34;81,09
159;159;27,63;15025,52;0,13;1,72;0,0;1,72;0,1;7,82;0,0;7,82;27,63;6240000,0;567687,2;727944,64;145231,91;145231,91;13,34;81,09
160;160;28,75;16434,17;0,33;4,38;0,0;4,38;0,01;0,81;0,0;0,81;28,75;6240000,0;590701,91;727713,37;120577,3;120577,3;13,34;81,09
161;161;38,08;18781,91;0,36;4,82;0,0;4,82;0,0;0,0;0,0;0,0;38,08;6166213,51;782486,7;727482,11;-73786,49;0,0;13,34;81,09
162;162;40,32;21912,22;0,36;4,82;0,0;4,82;0,0;0,0;0,0;0,0;40,32;6043033,63;828518,5;727250,84;-123179,88;0,0;13,34;81,09
163;163;38,83;23164,35;0,34;4,59;0,0;4,59;0,0;0,0;0,0;0,0;38,83;5949058,22;797830,63;727019,58;-93975,4;0,0;13,34;81,09
164;164;35,47;22225,25;0,3;3,97;0,0;3,97;0,0;0,0;0,0;0,0;35,47;5924832,36;728788,92;726788,31;-24225,86;0,0;13,34;81,09
165;165;32,48;20347,06;0,22;2,87;0,0;2,87;0,0;0,0;0,0;0,0;32,48;5963623,17;667419,18;726557,05;38790,81;0,0;13,34;81,09
166;166;28,38;17216,75;0,17;2,26;0,0;2,26;0,0;0,0;0,0;0,0;28,38;6089701,67;583030,54;726325,78;126078,5;0,0;13,34;81,09
167;167;25,02;12521,27;0,18;2,4;0,0;2,4;0,0;0,0;0,0;0,0;25,02;6240000,0;513987,03;726094,52;199586,22;49287,89;13,34;81,09
